0	183	39
1	146	37
2	161	34
3	222	34
4	191	41
5	187	39
6	163	35
7	199	40
8	188	37
9	185	35
10	191	34
11	235	38
12	148	36
13	179	38
14	204	35
15	184	35
16	205	34
17	225	38
18	2	1
19	3	3
20	3	3
21	4	4
22	4	4
23	5	4
24	17	14
25	2	2
26	0	0
27	0	0
28	40	26
29	24	23
30	0	0
31	0	0
32	22	20
33	0	0
34	5	5
35	2	1
36	114	23
37	0	0
38	2	2
39	15	14
40	0	0
41	0	0
42	25	20
43	2	1
44	4	4
45	10	10
46	10	9
47	1	1
48	13	13
49	9	6
50	0	0
51	2	2
52	0	0
53	0	0
54	6	5
55	0	0
56	0	0
57	0	0
58	40	27
59	3	3
60	0	0
61	0	0
62	109	23
63	0	0
64	3	3
65	0	0
66	0	0
67	22	22
68	0	0
69	0	0
70	12	12
71	0	0
72	0	0
73	0	0
74	12	9
75	2	2
76	0	0
77	0	0
78	18	17
79	0	0
80	0	0
81	0	0
82	0	0
83	1	1
84	0	0
85	7	5
86	7	6
87	0	0
88	21	11
89	0	0
90	107	22
91	2	2
92	3	2
93	1	1
94	0	0
95	47	22
96	0	0
97	5	5
98	0	0
99	0	0
100	1	1
101	0	0
102	1	1
103	0	0
104	1	1
105	0	0
106	1	1
107	123	27
108	0	0
109	0	0
110	0	0
111	112	27
112	0	0
113	9	4
114	3	2
115	0	0
116	0	0
117	9	7
118	22	18
119	33	28
120	20	15
121	25	22
122	28	20
123	22	18
124	26	20
125	22	21
126	32	20
127	20	17
