0	1026	58
1	737	59
2	852	55
3	893	55
4	830	59
5	1076	59
6	832	57
7	888	62
8	956	58
9	872	56
10	919	53
11	1023	57
12	719	58
13	845	58
14	1058	58
15	847	58
16	1062	57
17	1117	57
18	4	2
19	133	25
20	28	20
21	9	8
22	40	28
23	26	12
24	50	24
25	4	3
26	0	0
27	0	0
28	60	32
29	44	31
30	0	0
31	4	3
32	42	28
33	0	0
34	6	6
35	8	5
36	588	34
37	0	0
38	8	7
39	27	18
40	89	35
41	5	1
42	59	31
43	6	2
44	13	13
45	23	19
46	45	23
47	10	8
48	206	35
49	23	10
50	0	0
51	51	33
52	0	0
53	40	22
54	30	20
55	20	16
56	0	0
57	50	25
58	153	38
59	6	6
60	0	0
61	0	0
62	534	29
63	3	3
64	8	8
65	0	0
66	2	2
67	157	36
68	1	1
69	33	20
70	18	17
71	0	0
72	0	0
73	0	0
74	24	15
75	14	13
76	0	0
77	4	3
78	40	30
79	0	0
80	0	0
81	0	0
82	0	0
83	5	4
84	0	0
85	7	5
86	13	11
87	0	0
88	44	23
89	28	17
90	530	29
91	16	8
92	17	9
93	8	8
94	0	0
95	69	28
96	5	3
97	21	16
98	0	0
99	68	29
100	67	29
101	1	1
102	12	8
103	0	0
104	22	16
105	0	0
106	3	3
107	579	39
108	0	0
109	12	8
110	0	0
111	585	40
112	0	0
113	43	12
114	27	9
115	29	29
116	0	0
117	17	13
118	112	56
119	141	62
120	130	54
121	128	55
122	137	54
123	113	56
124	122	55
125	103	53
126	124	57
127	112	51
