0	306
1	233
2	162
3	116
4	76
5	76
6	52
7	45
8	49
9	63
10	48
11	29
12	30
13	21
14	25
15	15
16	15
17	14
18	32
19	27
20	41
21	44
22	73
23	109
24	153
25	129
26	116
27	105
28	101
29	111
30	79
31	77
32	65
33	56
34	42
35	53
36	47
37	48
38	40
39	37
40	26
41	28
42	30
43	27
44	26
45	30
46	27
47	18
48	23
49	13
50	19
51	18
52	13
53	6
54	11
55	7
56	5
57	5
58	5
59	7
60	1
61	3
62	1
63	3
64	3
65	1
66	4
67	0
68	3
69	3
70	2
71	3
72	0
73	0
74	0
75	2
76	3
77	3
78	1
79	0
80	1
81	1
82	0
83	1
84	2
85	0
86	0
87	1
88	1
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	1
110	0
111	0
112	0
113	1
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	1
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	1
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	1
